Word,Count,Files,First Location
"video",231,93,"25_dai_brse_year1/t08_hizashi_v1_prep/t08_HizashiV1Prep_HoiThoai.md:31"
"cost",230,62,"25_dai_brse_year1/t05_brse_client_meeting/t05_BrseClientMeeting_HoiThoai.md:60"
"scenes",229,48,"25_dai_brse_year1/_pipeline/07_council/pedagogue.md:35"
"link",228,74,"25_dai_brse_year1/t03_brse_first_project/t03_BrseFirstProject_HoiThoai.md:44"
"audience",228,65,"25_dai_brse_year1/_pipeline/07_council/domain_expert.md:34"
"step",228,74,"22_dai_daigaku_year2/t03_FE_pass/t03_FEPass_HoiThoai.md:96"
"Kimura",228,35,"11_jisshusei_shokuhin/t08_iso_audit/t08_IsoAudit_LyThuyet.md:9"
"bad_example",227,227,"07_visit_card/nội_dung/_schema/rule_conversation.schema.json:1"
"CRITICAL",226,84,"25_dai_brse_year1/_pipeline/06_consistency.md:11"
"Self",226,78,"25_dai_brse_year1/_pipeline/08_revision_log.md:36"
"Template",226,100,"07_visit_card/output/_combined.md:609"
"Kansai",226,67,"19_dai_year1/t11_hikkoshi_dorm/t11_HikkoshiDorm_HoiThoai.md:119"
"uncertain",226,165,"07_visit_card/nội_dung/_schema/rule_conversation.schema.json:1"
"tech",225,83,"25_dai_brse_year1/_pipeline/06_consistency.md:79"
"data",224,75,"02_phone/README.md:23"
"annotations",223,220,"07_visit_card/nội_dung/_schema/rule_conversation.schema.json:1"
"bridge",222,75,"25_dai_brse_year1/t01_brse_first_day/t01_BrseFirstDay_HoiThoai.md:3"
"scenario",222,68,"07_visit_card/nội_dung/_front_matter.md:21"
"zun_inner",221,11,"09_real_dialogues/nội_dung/_front_matter.md:27"
"nghi",220,107,"07_visit_card/nội_dung/_front_matter.md:5"
"retro",220,23,"05_presentation/output/_combined.md:3222"
"Thanh",218,40,"25_dai_brse_year1/t10_brse_overload_crisis/t10_BrseOverloadCrisis_HoiThoai.md:1"
"internal",218,93,"25_dai_brse_year1/t10_brse_overload_crisis/t10_BrseOverloadCrisis_HoiThoai.md:22"
"onsen",218,22,"11_jisshusei_shokuhin/t01_dat_chan_toi_nhat/t01_DatChanToiNhat_LyThuyet.md:137"
"Day",215,39,"25_dai_brse_year1/t01_brse_first_day/t01_BrseFirstDay_HoiThoai.md:1"
"next",215,73,"25_dai_brse_year1/t09_hizashi_v1_launch/t09_HizashiV1Launch_HoiThoai.md:122"
